명칭,우편번호,주소,위도,경도,개요,문의 및 안내,개장일,쉬는날,이용시간,주차시설,시설정보
사라봉,63284,제주특별자치도 제주시 사라봉동길 61(건입동),33.5176259547,126.5461513246,"제주항 동쪽으로 바닷가를 접해 위치한 오름으로 제주시를 대표하는 오름이라고 할 수 있다. 고운 비단을 뜻하는 사라봉은 제주에서 가장 아름다운 열 곳을 선정한 영주십경 중 사봉낙조에 해당하는 오름이다. 사봉낙조는 사라봉에서 지는 붉은 노을을 의미하며, 사라봉 정상에 올라 노을로 붉게 물든 바다를 보면 절로 감탄사가 나온다. 정상에 오르면 북쪽으로는 파란 바다, 남쪽으로는 웅장한 한라산을 볼 수 있고 발아래로 제주 시내의 모습이 보여 막힘없이 펼쳐진 낮의 풍경도 아름답다. 오름의 형태는 북서쪽으로 벌어진 말굽형 화구로서 붉은 송이로 구성된 기생 화산이고 전체적으로 소나무가 가득하다. 사라봉 남쪽에는 모충사가 있고 동쪽에는 별도봉이 연봉을 이루고 있으며, 산 일대는 공원으로 지정되어 있다. 공원 내에는 팔각정과 의병 항쟁 기념탑이 있고 체력단련시설과 음수대, 화장실 등의 편의시설이 잘 갖추어져 있어 관광객뿐만 아니라 도민들도 자주 방문하는 오름이다.",제주관광정보센터 064-740-6000,,연중개방 (방문 시 제주관광정보센터 확인),,있음(소형 60대),화장실있음
산지천,"690-050,1",제주특별자치도 제주시 건입동,33.516206409,126.5299610984,"산지천은 한라산 부근에서 제주시 도심을 관통하여 제주시 최대의 재래시장인 동문시장 옆을 흘러 제주항까지 흐르는 하천이다. 산업화가 한창이던 1960년대에 산지천을 덮어 주택과 상가건물을 지으면서 환경오염 문제가 생기자 1995년도에 복원사업을 시작했다. 2002년 맑은 물이 흐르는 현재의 산지천 모습을 갖게 되었다. 은어, 숭어, 밀어, 붕어 등의 민물고기들이 서식하고 있어 여름철이면 낚시를 즐기는 사람들과 아이들이 수영하는 모습을 종종 볼 수 있다. 쇼핑의 중심지 칠성통과 동문재래시장 등이 주변에 자리하고 있고, 제주 올레 18코스의 시작점이기도 해 주변에는 늘 많은 사람이 북적거린다. 매년 산지천 축제를 열어 산지천 용천수가 흐르는 길을 따라 다양한 체험 공간과 전시, 먹거리 장터, 흥겨운 무대와 공연을 펼친다. 산지천을 따라 걸으면 옛 건물들을 개조해 독특한 현대 미술 전시 공간으로 바꾼 아라리오뮤지엄이 있고, 과거 제주 사람들에게 본인의 모든 것을 내놓고 나눔과 봉사를 몸소 실천한 김만덕 할머니를 기리는 김만덕기념관 등의 명소가 자리하고 있다.",제주관광정보센터 064-740-6000,,연중개방,,있음(산짓물 공영주차장),"주차가능,화장실있음"
생각하는 정원,63005,제주특별자치도 제주시 한경면 녹차분재로 675(한경면),33.3254009536,126.2551753838,"생각하는 정원은 1968년부터 농부 성범영이 제주시 한경면 저지리의 황무지를 개척하여 집념으로 완성한 창조적인 정원으로 36,000m²의 대지에 8개의 소정원으로 구성되어 있으며 [세계에서 가장 아름다운 정원]이라는 수식어와 함께 창조와 예술, 철학이 융합된 정원으로 국제적 탐구의 대상이 되고 있다. 유구한 세월을 간직한 한국 고유의 정원수와 분재 그리고 괴석과 수석이 잔디광장과 오름의 여백을 따라 전시되어 있으며, 돌 하나하나마다 손으로 직접 다듬어 쌓아 올린 거대한 화산석 돌담과 돌문, 그리고 곳곳에 쏟아져 내리는 폭포와 연못은 자연석 석조건물과 조화를 이루어 독창적인 한국정원의 모습을 갖고 있어 제주의 자연과 멋을 가장 잘 보여주고 있다. 황량한 불모지에 꽃피운 한 농부의 혼불이라는 점에서 세계 언론의 주목을 받고 있으며, 실제 세계명사들이 가장 많이 다녀간 명소이다. 중국 장쩌민 국가주석의 방문과 후진타오 주석, 북한 김용순 노동당 비서, 일본 나까소네 총리대신 등 외교사절과 국내외명사들의 방문은 일일이 열거할 수도 없을 정도이다. 주제가 다른 8개의 정원을 관람하는데 그치지 않고 색다르고 다양한 체험프로그램도 예약을 통해 참여해 볼 수 있다. *정원안내 환영의 정원 / 영혼의 정원 / 영감의 정원 / 철학자의 정원 / 향나무 정원 / 감귤 정원 / 평화의정원 / 비밀의 정원",064-772-3701,1972-07-30,연중무휴,09:00~18:00<br> 제주로컬푸드레스토랑 10:30~17:00,가능,화장실있음
수월봉,63008,제주특별자치도 제주시 한경면 고산리 3760,33.2947890147,126.1634201497,"제주의 가장 서쪽 끝머리에 있는 한경면 고산리에 가면 제주에서 가장 넓은 들이 있다. 이 들판 끝 해안가에 솟아있는 조그마한 봉우리가 수월봉이다. 수월봉은 해안에 돌출해 있는 높이 약 77m의 봉우리로 절벽이 예리하고 운치가 있으며 곳곳에서 솟는 용천수는 약수로 유명하다. 수월봉 정상에는 기우제를 지내던 육각정인 수월정이 있다. 수월봉 아래 해안을 끼고 이어지는 절벽은 화석층이 뚜렷하여 자연의 신기함을 더하는 곳이다. 수월봉에서는 제주에서 가장 아름답다는 섬인 차귀도가 내려다 보이고, 더욱이 수월봉 정상에 있는 수월정에 앉아서 바라보는 낙조는 제주 어느 곳에서 보는 것보다 아름답다.",제주관광정보센터 064-740-6000,,연중무휴,상시,가능,화장실있음
안덕계곡,63531,제주특별자치도 서귀포시 안덕면 일주서로 1524,33.2584404427,126.3529933785,"안덕계곡은 서귀포 안덕면의 감산리 마을을 지나 바다로 유입되는 창고천 하류에 형성된 계곡이다. 표고 914m의 한대오름 주위를 발원지로 한다. 안덕계곡의 ‘안덕(安德)’은 치안치덕(治安治德)의 줄임말로, 태초에 안개가 끼고 하늘과 땅이 진동하며 태산이 솟아날 때 암벽 사이에 물이 흘러 치안치덕한 곳이라 하여 유래된 말이다. 제주도 특유의 계곡미를 보이는 골짜기가 깊게 침식된 유년기곡으로, 용암 동굴 천장이 붕괴하여 형성된 계곡이라는 설도 있다. 안덕계곡은 전체 길이의 절반이 5~10m 깊이의 수직 단애를 이루며, 하천 하류에는 깊이가 40~50m에 달하는 협곡에 조면암류 주상 절리와 판상 절리군이 발달되어 있다. 병풍처럼 둘러쳐진 기암절벽과 평평한 암반 바닥에서 유유히 흐르는 맑은 물이 멋스러운 운치를 자아낸다. 계곡의 양쪽에는 구실잣밤나무·참식나무·후박나무·감탕나무·조록나무·종가시나무 등 난대 수목의 고목이 울창하게 덮여 있으며, 남오미자·바람등칡·백량금 등이 하층 식물을 형성하고 있다. 이곳에는 300여 종의 식물이 분포하는데, 특히 양치식물이 많은 것이 특징이다. 이 계곡에 자생하고 있는 희귀 식물과 난대림의 원식생이 가치를 인정받아 천연기념물로 지정됐다. 제주10경 중 하나로 제주 올레 9코스와 추사 유배길 3코스에 포함된 관광지이다. 주변 10km 이내에 천제연폭포, 중문관광단지, 산방굴사, 제주조각공원 등이 있다.",064-710-6653 (제주도청세계유산본부:상록수림담당)<br> 064-732-1330 (서귀포시종합관광안내소),2006년,연중무휴,상시개방,주차 가능,화장실있음
신양 섭지해수욕장,63642,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.430250088,126.9280674087,"섭지코지는 성산일출봉과 함께 제주도 동쪽의 대표 관광지로 코지는 바다로 돌출되어 나온 지형을 뜻하는 곶의 제주 방언이다. 제주도 바람의 언덕이자, 많은 영화나 드라마, 광고 촬영지로 이용되면서 국내는 물론 해외 관광객들의 발길이 끊이지 않고 있다. 섭지코지를 향해 오르기 2km 전 오른편에 자리한 신양섭지해수욕장을 만날 수 있고, 신양해수욕장이라고도 불린다. 신양 섭지해수욕장은 섭지코지 곶부리 안쪽에 자리해 때묻지 않은 자연의 아름다움을 그대로 간직하고 있다. 둥그런 초승달 같은 반원형의 이 해수욕장은 백사장의 길이가 300m에 너비가 80여m 된다. 평균수심 1m, 경사도 5도 정도로서 파도가 잔잔하고 아늑해서 어린이들도 안심하고 해수욕을 즐길 수 있고 백사장은 돌, 자갈이 거의 없는 대신에 가늘고 고운 연갈색의 모래가 깔려 있다. 마을과 떨어져 있어서 한가롭고 조용한 분위기를 즐기고픈 사람들에게 권할만한 피서지이다. 해수욕장 반대쪽에서는 바다와 성산일출봉, 유채꽃이 조화를 이룬 아름다운 풍경도 감상할 수도 있다. 또한 국제윈드서핑대회가 개최됐던 곳으로 윈드서핑을 즐기는 이들에게 사랑받는 곳이며, 주변 관광지로 섭지코지, 아쿠아플라넷, 성산일출봉, 온평리 혼인지 등이 있다.",064-760-4990(성산읍 사무소),,,상시개방,주차가능 (무료),화장실있음
마라도(마라해양도립공원),63515,제주특별자치도 서귀포시 대정읍 마라로101번길 46,33.1186350844,126.2674344514,"북위 33도 6분 33초, 동경 126도 11분 3초, 국토의 최남단에 떠 있는 섬이다. 세계 해도에 표시된 등대가 있으며, 섬 전체를 뒤덮다시피 한 천연잔디가 이색적인 느낌을 주는 섬이다. 면적 0.3㎢의 이 섬은 해안이 가파른 절벽으로 이루어져 있어 자연풍광이 수려하다. 30여 가구 80여 명의 주민들은 어업에 종사하며, 모슬포항과 산수이수동 선착장에서 정기여객선과 관광유람선이 수차례씩 왕복 운항한다. 또한 벵에돔, 감성돔 등이 잘 낚이는 바다낚시터로도 유명하다. 이 섬에 사람이 살기 시작한 것은 1883년에 3세대가 이주하면서부터이다. 당시 식량이 부족해서 해산물로 연명하다가 농사를 짓기 위해 울창하던 산림에 불을 놓는 바람에 여태까지 뱀과 개구리가 살지 않는다고 한다.",064-760-4014,,,,항구 주차장 이용,화장실있음
만장굴 (제주도 국가지질공원),63348,제주특별자치도 제주시 구좌읍 만장굴길 182(구좌읍),33.5280478463,126.7706788052,"제주시 구좌읍 김녕리에 위치하는 만장굴은 전체길이 약 7,400 m, 최대 높이 약 25 m, 최대 폭 약 18m로서 제주 세계자연유산의 한 부분인 거문오름용암동굴계(황상구 외, 2005)에 속하는 용암동굴이다. 특히 주 통로는 폭이 18m, 높이가 23m에 이르는 세계적으로도 큰 규모의 동굴이다. 전 세계에는 많은 용암동굴이 분포하지만 만장굴과 같이 수십만 년 전에 형성된 동굴로서 내부의 형태와 지형이 잘 보존되어 있는 용암동굴은 드물어서 학술적, 보전적 가치가 매우 크다. 만장굴은 동굴 중간 부분의 천장이 함몰되어 3개의 입구가 형성되어 있는데, 현재 일반인이 출입할 수 있는 입구는 제2입구이며, 1㎞만 탐방이 가능하다. 만장굴 내에는 용암종류, 용암석순, 용암유석, 용암유선, 용암선반, 용암표석 등의 다양한 용암동굴생성물이 발달하며, 특히 개방구간 끝에서 볼 수 있는 약 7.6m 높이의 용암석주는 세계에서 가장 큰 규모로 알려져 있다. <출처 : 제주도세계지질공원>",제주도 국가지질공원 064-710-3945 관람문의 064-710-7903,,매월 첫째 주 수요일,"[관람시간] 09:00~18:00 ※ 입장마감 17:10 해설사 운영 09:00 ~ 17:00(무료이며, 현장에서 신청)","가능 (대형 60대, 소형 75대)","주차가능,화장실있음"
김녕사굴 [유네스코 세계자연유산],63356,제주특별자치도 제주시 구좌읍 덕평로 392-1,33.501009219,126.7736541682,"김녕사굴은 제주시 구좌읍 김녕리에 있는 용암동굴로 만장굴 바로 옆에 있다. 1962년 12월 7일 만장굴과 함께 천연기념물로 지정됐으며 문화재보호법에 의한 공개제한구역 일반인의 출입이 금지되고 있으며, 관리 및 학술 연구의 목적으로 문화재청장의 허가를 받아 출입할 수 있다. 입구는 해발고도 60m이다. S자형의 동굴은 3개 부분으로 나눠지는데, 제1동굴이 52m, 제2동굴의 상층부가 54m, 하층부가 156m이며 제3동굴이 352m이다. 그동안의 동굴조사 등에 의해 만장굴과 동일한 동굴 시스템을 이루고 있음이 밝혀졌다. 동굴 생성 당시의 상태, 즉 만장굴과의 사이에 함락부가 뚫린 상태로 있어 2개의 동굴이 연결된 것으로 본다면 길이는 엄청나다. 동굴의 특이한 지형으로는 관리사무소 부근의 짧은 공동(空洞) 윗부분에 발달한 용암선반과 거기 부착된 규산화 등을 들 수 있다. 또, 동굴 끝부분에 발달한 대규모의 용암폭포와 다량의 용암이 흘러내린 동굴바닥의 형상이 특이한 경관을 이룬다. 동굴 깊은 곳의 공동 천장에서 패사(貝砂)가 용해된 석회질 침전물과 퇴적물을 볼 수 있는데, 그것은 지표에 운반 퇴적된 해안사토 속의 패사가 그대로 지층 속에 매몰된 것이다. 김녕사굴에서 사굴이라는 명칭은 동굴에 내려오는 전설에서 유래한다. 본래 동굴 속에는 해마다 15세 된 소녀를 제물로 바치지 않으면 심한 폭풍우를 일으키는 등 갖가지 변괴를 부리는 거대한 구렁이가 살고 있었는데, 1515년(중종 10) 3월 당시의 제주판관 서린(徐燐)이 주민을 괴롭혀 온 그 구렁이를 퇴치하였다고 한다. 동굴의 형상 또한 입구는 뱀의 머리 부분처럼 크게 벌어져 있고 안쪽으로 깊숙이 들어갈수록 점점 가는 길이 형성되어 있어 뱀과 닮았다.",제주관광정보센터 064-740-6000 / 문화재청 1600-0064,,,,,
사라봉공원,63284,제주특별자치도 제주시 사라봉동길 74,33.5180620158,126.5460485461,"사라봉 공원은 제주시 동문로터리에서 동쪽으로 2km 거리에 있는 143m 높이의 낮은 동산이다. 사라봉 전체를 공원으로 조성하여 제주 시민들의 산책이나 운동 장소로 이용될 뿐만 아니라, 사라봉을 오르는 관광객들에게도 오름을 오르는 즐거움을 더하고 있다. 사봉낙조는 사라봉에서 바라보는 해넘이를 말하는데, 이곳에서 볼 수 있는 사봉낙조는 영주(제주도의 옛 명칭) 12경의 하나로 성산일출과 대조가 될만하다. 북쪽으로는 바다를 끼고 남쪽으로는 한라산을 바라보고 있는 이곳은 제주시민은 물론 관광객도 즐겨 찾는다.사라봉입구 버스 정류장에서 공원으로 가는 길에 모충사가 있고 사라봉 동쪽에는 패러글라이딩 활공장이 있는 별도봉이 들어앉았다. 기슭에 우당도서관이 있는데 이곳에서 부터 사라봉 뒤편을 돌아 제주항을 거친 다음 탑동까지 가는 코스는 이름난 드라이브 코스이다. 오후에 운동 겸 산책겸 사라봉을 오르면서 바다로 지는 일몰도 감상하고, 시내에 하나 둘 들어오는 불빛을 바라보면, 자연과 도시의 아름다움을 한번에 느낄 수 있다. 도시의 불빛 뿐만 아니라, 항구 쪽에서 밝혀지는 불빛들은 바닷가에서만 만날 수 있는 또 다른 아름다움을 선사한다.",064-728-3605,,,,"가능(약 소형 25대, 무료)",화장실있음
